"UF do tratamento";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Sem informação de tratamento";" Total"
"11 Rondônia";"70";"142";"205";"234";"335";"338";"272";"317";"179";"0";"2092"
"12 Acre";"51";"60";"42";"48";"67";"66";"54";"55";"39";"0";"482"
"13 Amazonas";"190";"203";"263";"267";"275";"321";"388";"461";"167";"0";"2535"
"14 Roraima";"19";"42";"41";"34";"53";"34";"42";"65";"36";"0";"366"
"15 Pará";"384";"409";"426";"496";"601";"632";"723";"654";"376";"0";"4701"
"16 Amapá";"15";"16";"49";"40";"32";"39";"51";"39";"30";"0";"311"
"17 Tocantins";"99";"108";"136";"122";"119";"151";"191";"172";"96";"0";"1194"
"21 Maranhão";"374";"440";"486";"461";"547";"561";"591";"689";"472";"0";"4621"
"22 Piauí";"356";"457";"447";"565";"477";"559";"612";"503";"338";"0";"4314"
"23 Ceará";"1514";"1499";"1446";"1570";"1589";"1811";"2041";"1895";"1132";"0";"14497"
"24 Rio Grande do Norte";"561";"638";"678";"632";"653";"727";"807";"784";"498";"0";"5978"
"25 Paraíba";"466";"575";"647";"670";"722";"858";"895";"850";"467";"0";"6150"
"26 Pernambuco";"1414";"1473";"1450";"1453";"1532";"1723";"1988";"1699";"1089";"0";"13821"
"27 Alagoas";"357";"410";"365";"381";"467";"480";"500";"469";"278";"0";"3707"
"28 Sergipe";"74";"26";"13";"110";"299";"340";"395";"406";"237";"0";"1900"
"29 Bahia";"1513";"1832";"1723";"1748";"2175";"2409";"2430";"2196";"1261";"0";"17287"
"31 Minas Gerais";"2878";"3875";"3701";"3949";"3951";"4807";"5339";"4821";"2616";"0";"35937"
"32 Espírito Santo";"580";"671";"777";"739";"846";"889";"980";"967";"598";"0";"7047"
"33 Rio de Janeiro";"2525";"3057";"3246";"3265";"3284";"4069";"4011";"3697";"2145";"0";"29299"
"35 São Paulo";"7718";"8438";"8480";"8745";"8980";"9190";"10421";"9802";"5285";"0";"77059"
"41 Paraná";"2020";"1963";"2105";"2345";"2263";"2814";"3082";"2985";"1662";"0";"21239"
"42 Santa Catarina";"1335";"1507";"1603";"1700";"1885";"2000";"2134";"2133";"1275";"0";"15572"
"43 Rio Grande do Sul";"2875";"3169";"3338";"3378";"3399";"3659";"3849";"3604";"1951";"0";"29222"
"50 Mato Grosso do Sul";"290";"355";"413";"379";"371";"414";"447";"382";"248";"0";"3299"
"51 Mato Grosso";"345";"381";"375";"417";"403";"419";"534";"444";"283";"0";"3601"
"52 Goiás";"504";"672";"636";"830";"765";"1015";"1096";"950";"534";"0";"7002"
"53 Distrito Federal";"482";"451";"412";"493";"450";"542";"492";"641";"321";"0";"4284"
"Sem informação de tratamento";"0";"0";"0";"0";"0";"0";"0";"0";"0";"53417";"53417"
"Total";"29009";"32869";"33503";"35071";"36540";"40867";"44365";"41680";"23613";"53417";"370934"
